"","ISO_A0","adjusted_year","cases","full_name","continent","label_y","hemisphere","join","total_missing","YearN","YearN2","YearN3","YearN4","population_total","ave_cases","avg_inc","YearN_continent","YearN_country","offset1","country","countryID","continentID"
"125","AUS",2009,1905,"Australia","Oceania",-24.129522,"south","AUS 2009",0,20,20,20,20,21691653,2259.25714285714,9.94830746820933,"Oceania_20","AUS_20",216.91653,"AUS",4,4
"126","AUS",2010,3840,"Australia","Oceania",-24.129522,"south","AUS 2010",0,21,21,21,21,22031750,2259.25714285714,9.94830746820933,"Oceania_21","AUS_21",220.3175,"AUS",4,4
"127","AUS",2011,4326,"Australia","Oceania",-24.129522,"south","AUS 2011",0,22,22,22,22,22340024,2259.25714285714,9.94830746820933,"Oceania_22","AUS_22",223.40024,"AUS",4,4
"128","AUS",2012,6810,"Australia","Oceania",-24.129522,"south","AUS 2012",0,23,23,23,23,22733465,2259.25714285714,9.94830746820933,"Oceania_23","AUS_23",227.33465,"AUS",4,4
"129","AUS",2013,5163,"Australia","Oceania",-24.129522,"south","AUS 2013",0,24,24,24,24,23128129,2259.25714285714,9.94830746820933,"Oceania_24","AUS_24",231.28129,"AUS",4,4
"130","AUS",2014,5148,"Australia","Oceania",-24.129522,"south","AUS 2014",0,25,25,25,25,23475686,2259.25714285714,9.94830746820933,"Oceania_25","AUS_25",234.75686,"AUS",4,4
"131","AUS",2015,4374,"Australia","Oceania",-24.129522,"south","AUS 2015",0,26,26,26,26,23815995,2259.25714285714,9.94830746820933,"Oceania_26","AUS_26",238.15995,"AUS",4,4
"132","AUS",2016,4335,"Australia","Oceania",-24.129522,"south","AUS 2016",0,27,27,27,27,24190907,2259.25714285714,9.94830746820933,"Oceania_27","AUS_27",241.90907,"AUS",4,4
"133","AUS",2017,2787,"Australia","Oceania",-24.129522,"south","AUS 2017",0,28,28,28,28,24592588,2259.25714285714,9.94830746820933,"Oceania_28","AUS_28",245.92588,"AUS",4,4
"134","AUS",2018,3990,"Australia","Oceania",-24.129522,"south","AUS 2018",0,29,29,29,29,24963258,2259.25714285714,9.94830746820933,"Oceania_29","AUS_29",249.63258,"AUS",4,4
"135","AUS",2019,2508,"Australia","Oceania",-24.129522,"south","AUS 2019",0,30,30,30,30,25334826,2259.25714285714,9.94830746820933,"Oceania_30","AUS_30",253.34826,"AUS",4,4
"136","AUS",2020,12,"Australia","Oceania",-24.129522,"south","AUS 2020",0,31,31,31,31,25649248,2259.25714285714,9.94830746820933,"Oceania_31","AUS_31",256.49248,"AUS",4,4
"137","AUS",2021,300,"Australia","Oceania",-24.129522,"south","AUS 2021",0,32,32,32,32,25685412,2259.25714285714,9.94830746820933,"Oceania_32","AUS_32",256.85412,"AUS",4,4
